shipment_id,distance_km,hours_to_deadline,origin_rain_mm,origin_storm,congestion_index,carrier_reliability,delay_prob
SHP-1001,1296.88,3.8,13.8,0,0.22,0.86,0.322
SHP-1002,1369.56,64.5,4.3,0,0.42,0.51,0.405
SHP-1003,476.34,37.4,1.3,0,0.2,0.82,0.153
SHP-1004,1112.64,17.4,29.5,0,0.76,0.58,0.521
SHP-1005,874.1,21.5,10.8,0,0.76,0.55,0.416
SHP-1006,790.86,27.1,17.2,0,0.26,0.52,0.335
SHP-1007,945.88,10.7,46.1,0,0.55,0.91,0.454
SHP-1008,1256.11,62.3,28.9,0,0.05,0.61,0.392
SHP-1009,614.31,7.6,11.6,0,0.1,0.64,0.231
SHP-1010,1289.58,27.5,18.5,0,0.21,0.63,0.383
SHP-1011,1876.48,47.4,30.5,0,0.53,0.62,0.585
SHP-1012,951.41,20.9,46.3,0,0.68,0.91,0.482
SHP-1013,1563.2,18.0,1.6,0,0.32,0.63,0.379
SHP-1014,461.42,68.0,43.8,1,0.21,0.74,0.438
SHP-1015,1775.13,47.0,7.1,0,0.14,0.87,0.349
SHP-1016,1101.01,54.3,21.4,1,0.36,0.99,0.425
SHP-1017,319.75,36.5,37.8,0,0.15,0.58,0.313
SHP-1018,1376.94,43.7,19.2,0,0.6,0.73,0.457
SHP-1019,540.26,40.7,47.1,0,0.68,0.76,0.453
SHP-1020,570.31,46.9,5.6,0,0.43,0.72,0.25
SHP-1021,1909.94,63.3,13.2,0,0.5,0.59,0.521
SHP-1022,1829.62,62.9,14.9,0,0.64,0.8,0.502
SHP-1023,348.04,55.4,27.0,0,0.6,0.74,0.332
SHP-1024,268.14,27.4,49.3,1,0.24,0.62,0.461
SHP-1025,1156.35,7.5,36.6,0,0.98,0.76,0.564
SHP-1026,295.23,48.2,47.3,0,0.27,0.93,0.301
SHP-1027,875.12,16.8,27.0,0,0.71,0.7,0.441
SHP-1028,1359.79,28.1,45.0,1,0.12,0.61,0.586
SHP-1029,709.27,43.2,11.5,0,0.22,0.53,0.29
SHP-1030,1280.65,18.0,45.3,1,0.07,0.62,0.563
SHP-1031,1354.51,17.0,6.6,0,0.94,0.78,0.462
SHP-1032,971.71,56.9,40.4,0,0.09,0.82,0.361
SHP-1033,740.88,30.8,43.2,0,0.67,0.98,0.422
SHP-1034,241.91,30.2,17.0,0,0.86,0.62,0.352
SHP-1035,420.91,33.4,21.1,1,0.46,0.93,0.354
SHP-1036,197.0,58.6,42.8,0,0.05,0.99,0.213
SHP-1037,1680.25,69.8,46.3,0,0.17,0.74,0.523
SHP-1038,466.81,30.1,2.9,0,0.38,0.98,0.162
SHP-1039,567.15,56.9,22.8,1,0.7,0.86,0.444
SHP-1040,1577.55,48.3,24.3,0,0.3,0.97,0.4
SHP-1041,1179.4,40.0,37.4,0,0.05,0.73,0.391
SHP-1042,1842.8,39.2,2.8,0,0.51,0.92,0.406
SHP-1043,183.62,6.8,43.1,1,0.12,0.94,0.336
SHP-1044,530.12,43.6,31.0,1,0.66,0.78,0.48
SHP-1045,666.92,20.3,33.5,1,0.24,0.69,0.444
SHP-1046,1359.8,23.0,15.8,0,0.75,0.54,0.509
SHP-1047,943.66,71.9,49.8,0,0.54,0.75,0.499
SHP-1048,308.29,26.4,3.4,0,0.24,0.64,0.18
SHP-1049,904.46,40.0,15.1,0,0.98,0.9,0.412
SHP-1050,1081.43,48.8,27.7,0,0.94,0.57,0.547
SHP-1051,275.09,9.5,27.7,1,0.28,0.6,0.388
SHP-1052,718.62,50.1,42.6,1,0.25,0.94,0.44
SHP-1053,149.06,46.4,41.5,0,0.0,0.88,0.212
SHP-1054,1292.37,20.3,37.1,1,0.56,0.55,0.644
SHP-1055,1892.85,50.4,7.5,0,0.04,0.68,0.386
SHP-1056,1127.42,32.1,2.1,0,0.36,0.96,0.258
SHP-1057,1945.78,4.8,17.9,0,0.68,0.83,0.533
SHP-1058,739.67,41.2,43.7,0,0.93,0.62,0.548
SHP-1059,366.88,58.0,8.9,0,0.41,0.59,0.255
SHP-1060,1852.75,56.8,20.6,0,0.27,0.89,0.436
SHP-1061,260.79,63.1,42.9,0,0.2,0.95,0.261
SHP-1062,731.83,59.4,43.6,0,0.02,0.59,0.37
SHP-1063,690.11,62.5,48.3,1,0.35,0.75,0.517
SHP-1064,1375.06,61.1,16.6,0,0.03,0.93,0.293
SHP-1065,559.37,42.6,49.2,0,0.11,0.71,0.361
SHP-1066,1470.66,24.0,30.3,0,0.39,0.78,0.464
SHP-1067,546.71,51.6,0.1,0,0.93,0.76,0.316
SHP-1068,1452.89,53.9,33.5,1,0.43,0.96,0.546
SHP-1069,1845.5,45.6,33.2,0,0.72,0.65,0.624
SHP-1070,653.11,30.6,20.1,1,0.55,0.59,0.47
SHP-1071,1346.61,28.5,37.4,0,0.62,0.65,0.546
SHP-1072,1118.48,2.0,14.3,0,0.43,0.78,0.355
SHP-1073,1326.68,34.5,22.1,0,0.51,0.89,0.411
SHP-1074,1921.67,53.5,32.9,1,0.52,0.81,0.662
SHP-1075,703.62,59.3,37.6,1,0.22,0.6,0.48
SHP-1076,97.63,19.1,23.8,0,0.46,0.93,0.216
SHP-1077,1172.56,52.3,19.2,0,0.4,0.57,0.419
SHP-1078,1390.86,64.5,43.0,0,0.78,0.61,0.615
SHP-1079,1618.01,50.7,23.2,0,0.92,0.56,0.608
SHP-1080,310.01,34.5,26.6,1,0.95,0.94,0.455
SHP-1081,1244.67,52.3,25.2,1,0.9,0.86,0.596
SHP-1082,975.62,20.1,12.4,0,0.64,0.88,0.348
SHP-1083,1066.53,45.9,13.7,0,0.08,0.64,0.303
SHP-1084,579.84,24.4,27.0,0,0.15,0.69,0.287
SHP-1085,347.97,17.0,20.7,1,0.54,0.7,0.403
SHP-1086,453.33,31.4,45.2,0,0.86,0.88,0.445
SHP-1087,791.74,2.4,17.6,0,0.75,0.92,0.355
SHP-1088,1909.19,31.3,37.4,0,0.49,0.63,0.608
SHP-1089,997.0,29.2,33.4,1,0.72,0.91,0.545
SHP-1090,1843.11,70.7,26.7,1,0.59,0.82,0.637
SHP-1091,213.7,32.0,43.3,0,0.05,0.69,0.277
SHP-1092,462.74,24.9,38.1,1,0.28,0.97,0.384
SHP-1093,872.05,60.4,23.5,0,1.0,0.67,0.491
SHP-1094,1317.78,56.7,32.6,0,0.95,0.6,0.598
SHP-1095,89.74,12.7,6.3,0,0.67,0.78,0.217
SHP-1096,475.03,51.0,38.3,0,0.61,0.97,0.352
SHP-1097,1450.8,56.4,8.2,0,0.31,0.78,0.356
SHP-1098,1861.33,42.3,45.4,1,0.4,0.85,0.671
SHP-1099,198.19,50.3,31.4,0,0.7,0.65,0.365
SHP-1100,1384.31,58.4,39.8,0,0.35,0.71,0.495
SHP-1101,772.61,37.4,17.1,0,0.85,0.9,0.374
SHP-1102,255.8,69.3,31.8,1,0.71,0.71,0.466
SHP-1103,1480.9,69.6,13.5,0,0.81,0.76,0.486
SHP-1104,992.82,32.5,36.6,1,0.32,0.62,0.535
SHP-1105,1872.51,21.5,22.5,1,0.57,0.83,0.619
SHP-1106,705.97,36.6,16.3,0,0.49,0.67,0.335
SHP-1107,553.79,21.6,29.8,1,0.56,0.75,0.464
SHP-1108,422.56,18.9,20.3,0,0.69,0.82,0.319
SHP-1109,1007.1,57.5,4.7,0,0.22,0.84,0.246
SHP-1110,647.1,42.7,23.7,1,0.43,0.87,0.404
SHP-1111,695.04,51.2,13.5,0,0.25,0.56,0.296
SHP-1112,425.54,10.4,26.8,0,0.19,0.86,0.237
SHP-1113,589.17,43.3,38.0,1,0.98,0.91,0.554
SHP-1114,627.68,27.3,15.1,0,0.71,0.56,0.385
SHP-1115,138.76,5.8,14.6,0,0.94,0.81,0.305
SHP-1116,1517.94,9.2,0.6,0,0.28,0.73,0.34
SHP-1117,714.38,69.6,12.6,0,0.86,0.56,0.418
SHP-1118,177.42,36.4,28.9,0,0.15,0.9,0.192
SHP-1119,1900.8,8.0,12.4,0,0.56,0.7,0.507
SHP-1120,1212.45,45.3,38.8,1,0.45,0.72,0.583
SHP-1121,1727.32,71.3,15.3,0,0.62,0.8,0.484
SHP-1122,1493.17,68.3,10.4,0,0.21,0.82,0.344
SHP-1123,356.26,14.2,3.8,0,0.0,0.72,0.125
SHP-1124,1207.93,22.4,11.6,0,0.71,0.84,0.402
